Amount,ArmSkuName,BillingFrequency,BillingProfileId,BillingProfileName,Currency,Description,EventDate,EventType,Invoice,InvoiceId,InvoiceSectionId,InvoiceSectionName,PurchasingSubscriptionGuid,PurchasingSubscriptionName,Quantity,Region,ReservationOrderId,ReservationOrderName,Term
11.41,Standard_B2s,Recurring,/providers/Microsoft.Billing/billingAccounts/7c05a543-80ff-571e-9f98-1063b3b53cf2:99ad03ad-2d1b-4889-a452-090ad407d25f_2019-05-31/billingProfiles/2USN-TPCD-BG7-TGB,One Microsoft Billing Profile,USD,"Reserved VM Instance, Standard_B2s, US East, 3 Years",2025-02-28T10:05:03Z,Purchase,,/providers/Microsoft.Billing/billingAccounts/7c05a543-80ff-571e-9f98-1063b3b53cf2:99ad03ad-2d1b-4889-a452-090ad407d25f_2019-05-31/billingProfiles/2USN-TPCD-BG7-TGB/invoices/,/providers/Microsoft.Billing/billingAccounts/7c05a543-80ff-571e-9f98-1063b3b53cf2:99ad03ad-2d1b-4889-a452-090ad407d25f_2019-05-31/invoiceSections/GUHW-6O2G-PJA-TGB,CAB Provisioning,842b3500-2db4-45eb-8338-40c5bfaf2449,TesSUb7,1.0,eastus,f0bdb2cd-3520-40cb-b49f-1c172446efa6,VM_RI_06-28-2023_17-28,36
4.23,Standard_B1ls,Recurring,/providers/Microsoft.Billing/billingAccounts/7c05a543-80ff-571e-9f98-1063b3b53cf2:99ad03ad-2d1b-4889-a452-090ad407d25f_2019-05-31/billingProfiles/2USN-TPCD-BG7-TGB,One Microsoft Billing Profile,USD,"Reserved VM Instance, Standard_B1ls, US East, 3 Years",2025-02-28T07:06:55Z,Purchase,,/providers/Microsoft.Billing/billingAccounts/7c05a543-80ff-571e-9f98-1063b3b53cf2:99ad03ad-2d1b-4889-a452-090ad407d25f_2019-05-31/billingProfiles/2USN-TPCD-BG7-TGB/invoices/,/providers/Microsoft.Billing/billingAccounts/7c05a543-80ff-571e-9f98-1063b3b53cf2:99ad03ad-2d1b-4889-a452-090ad407d25f_2019-05-31/invoiceSections/GUHW-6O2G-PJA-TGB,CAB Provisioning,842b3500-2db4-45eb-8338-40c5bfaf2449,TesSUb7,3.0,eastus,54bb72aa-f584-46f9-9011-5a8a43c4395f,VM_RI_06-28-2023_17-26,36
-1.8,Standard_B1ls,Recurring,/providers/Microsoft.Billing/billingAccounts/7c05a543-80ff-571e-9f98-1063b3b53cf2:99ad03ad-2d1b-4889-a452-090ad407d25f_2019-05-31/billingProfiles/2USN-TPCD-BG7-TGB,One Microsoft Billing Profile,USD,"Reserved VM Instance, Standard_B1ls, AU East, 3 Years",2025-02-14T00:52:01Z,Cancel,,/providers/Microsoft.Billing/billingAccounts/7c05a543-80ff-571e-9f98-1063b3b53cf2:99ad03ad-2d1b-4889-a452-090ad407d25f_2019-05-31/billingProfiles/2USN-TPCD-BG7-TGB/invoices/,/providers/Microsoft.Billing/billingAccounts/7c05a543-80ff-571e-9f98-1063b3b53cf2:99ad03ad-2d1b-4889-a452-090ad407d25f_2019-05-31/invoiceSections/GUHW-6O2G-PJA-TGB,CAB Provisioning,bd6aaf45-144c-4a20-ac2b-6db825432e13,ASMS - Dev 0017G MCA-CL 3PP Test Deployment,1.0,australiaeast,de1f4da4-a43d-4fd7-838d-efd901ebd067,VM_RI_2025-02-14_09-45,36
1.8,Standard_B1ls,Recurring,/providers/Microsoft.Billing/billingAccounts/7c05a543-80ff-571e-9f98-1063b3b53cf2:99ad03ad-2d1b-4889-a452-090ad407d25f_2019-05-31/billingProfiles/2USN-TPCD-BG7-TGB,One Microsoft Billing Profile,USD,"Reserved VM Instance, Standard_B1ls, AU East, 3 Years",2025-02-14T00:47:39Z,Purchase,,/providers/Microsoft.Billing/billingAccounts/7c05a543-80ff-571e-9f98-1063b3b53cf2:99ad03ad-2d1b-4889-a452-090ad407d25f_2019-05-31/billingProfiles/2USN-TPCD-BG7-TGB/invoices/,/providers/Microsoft.Billing/billingAccounts/7c05a543-80ff-571e-9f98-1063b3b53cf2:99ad03ad-2d1b-4889-a452-090ad407d25f_2019-05-31/invoiceSections/GUHW-6O2G-PJA-TGB,CAB Provisioning,bd6aaf45-144c-4a20-ac2b-6db825432e13,ASMS - Dev 0017G MCA-CL 3PP Test Deployment,1.0,australiaeast,de1f4da4-a43d-4fd7-838d-efd901ebd067,VM_RI_2025-02-14_09-45,36
